Date,Provider,Service,Region,Amount,Usage_Type,Efficiency_Score
2023-01-18,SaaS,Snowflake,global,3829.61,reserved,40
2023-01-18,Azure,SQL Database,global,3627.06,reserved,46
2023-01-18,GCP,Compute Engine,global,4914.03,reserved,85
2023-01-19,Azure,AKS,global,3868.06,reserved,45
2023-01-19,AWS,RDS,global,3931.73,reserved,85
2023-01-19,Azure,AKS,global,2608.66,on-demand,51
2023-01-19,SaaS,Databricks,global,1160.61,on-demand,71
2023-01-19,SaaS,Databricks,global,4620.85,on-demand,57
2023-01-20,Azure,Fabric,global,4489.06,on-demand,51
2023-01-20,AWS,EC2,global,3490.11,reserved,42
2023-01-20,GCP,BigQuery,global,1786.57,reserved,35
2023-01-20,Azure,AKS,global,4449.42,on-demand,74
2023-01-20,AWS,Snowflake,global,4555.77,on-demand,65
2023-01-21,SaaS,Databricks,global,1468.98,reserved,83
2023-01-21,GCP,BigQuery,global,3722.45,reserved,63
2023-01-21,SaaS,Snowflake,global,2444.26,reserved,88
2023-01-21,SaaS,Snowflake,global,4437.53,on-demand,37
2023-01-22,GCP,Compute Engine,global,690.51,reserved,40
2023-01-22,SaaS,Databricks,global,3062.53,on-demand,41
2023-01-22,Azure,AKS,global,2304.46,reserved,77
2023-01-22,GCP,BigQuery,global,4539.06,on-demand,54
2023-01-22,Azure,AKS,global,3830.66,on-demand,56
2023-01-23,GCP,Compute Engine,global,1449.15,reserved,42
2023-01-23,GCP,BigQuery,global,2395.45,on-demand,42
2023-01-23,SaaS,Snowflake,global,1821.55,on-demand,49
2023-01-23,AWS,RDS,global,4791.89,reserved,87
2023-01-23,SaaS,Snowflake,global,4474.51,on-demand,51
2023-01-23,AWS,RDS,global,4351.59,reserved,37
2023-01-24,SaaS,Databricks,global,625.11,on-demand,89
2023-01-24,AWS,Databricks,global,3712.98,reserved,93
2023-01-24,GCP,BigQuery,global,2113.38,reserved,43
2023-01-24,Azure,SQL Database,global,561.6,on-demand,81
2023-01-24,Azure,SQL Database,global,3934.04,reserved,68
2023-01-25,SaaS,Databricks,global,673.59,on-demand,89
2023-01-25,SaaS,Databricks,global,2810.51,on-demand,56
2023-01-25,SaaS,Snowflake,global,2209.32,on-demand,87
2023-01-25,Azure,SQL Database,global,4723.48,reserved,80
2023-01-25,Azure,Fabric,global,4758.84,reserved,79
2023-01-26,AWS,EC2,global,623.86,reserved,47
2023-01-26,AWS,Kubernetes,global,3694.03,reserved,84
2023-01-26,AWS,Kubernetes,global,1158.06,reserved,72
2023-01-26,Azure,VMs,global,2549.3,reserved,35
2023-01-26,Azure,SQL Database,global,4237.49,reserved,48
2023-01-27,AWS,Kubernetes,global,4962.76,on-demand,74
2023-01-27,GCP,BigQuery,global,3376.66,on-demand,31
2023-01-27,AWS,Snowflake,global,3355.12,reserved,78
2023-01-27,GCP,Compute Engine,global,3367.26,on-demand,64
2023-01-27,AWS,EC2,global,4716.45,reserved,40
2023-01-28,SaaS,Snowflake,global,1204.0,on-demand,52
2023-01-28,AWS,Databricks,global,868.47,reserved,90
2023-01-28,AWS,Kubernetes,global,3837.64,reserved,36
2023-01-28,SaaS,Snowflake,global,2223.91,reserved,81
2023-01-29,Azure,VMs,global,1753.6,on-demand,63
2023-01-29,SaaS,Snowflake,global,1658.02,reserved,92
2023-01-29,SaaS,Snowflake,global,3345.15,reserved,83
2023-01-29,SaaS,Snowflake,global,582.79,on-demand,31
2023-01-29,AWS,Databricks,global,4212.5,on-demand,79
2023-01-30,AWS,Snowflake,global,3972.85,on-demand,85
2023-01-30,SaaS,Snowflake,global,4676.53,reserved,88
2023-01-30,Azure,Fabric,global,2070.54,reserved,83
2023-01-31,GCP,Compute Engine,global,3539.62,reserved,75
2023-01-31,Azure,SQL Database,global,562.39,on-demand,40
2023-01-31,Azure,AKS,global,3500.39,on-demand,47
2023-02-01,AWS,Kubernetes,global,565.7,on-demand,73
2023-02-01,Azure,Fabric,global,2519.29,on-demand,63
2023-02-01,SaaS,Snowflake,global,1607.0,on-demand,33
2023-02-01,GCP,Compute Engine,global,3010.7,on-demand,95
2023-02-02,Azure,Fabric,global,3057.84,on-demand,93
2023-02-02,Azure,AKS,global,3005.1,reserved,51
2023-02-02,Azure,VMs,global,4174.25,reserved,61
2023-02-03,AWS,EC2,global,3383.71,reserved,71
2023-02-03,GCP,BigQuery,global,4458.07,reserved,46
2023-02-03,Azure,Fabric,global,2236.0,reserved,51
2023-02-03,AWS,Snowflake,global,1363.42,on-demand,87
2023-02-03,GCP,Compute Engine,global,4657.21,on-demand,87
2023-02-04,AWS,Snowflake,global,2353.34,on-demand,67
2023-02-04,Azure,Fabric,global,3105.1,on-demand,60
2023-02-04,Azure,AKS,global,4671.5,on-demand,82
2023-02-05,AWS,Snowflake,global,4869.92,on-demand,70
2023-02-05,AWS,Databricks,global,575.34,reserved,56
2023-02-05,AWS,Databricks,global,1260.08,reserved,70
2023-02-05,SaaS,Databricks,global,777.58,on-demand,70
2023-02-05,SaaS,Snowflake,global,3091.87,reserved,65
2023-02-05,Azure,SQL Database,global,1114.01,reserved,75
2023-02-06,SaaS,Snowflake,global,1101.09,on-demand,52
2023-02-06,AWS,Databricks,global,4268.38,on-demand,72
2023-02-06,GCP,BigQuery,global,4254.68,reserved,35
2023-02-06,GCP,BigQuery,global,4107.71,on-demand,38
2023-02-07,Azure,VMs,global,2817.17,reserved,60
2023-02-07,Azure,SQL Database,global,1646.12,on-demand,56
2023-02-07,SaaS,Snowflake,global,4398.72,on-demand,53
2023-02-07,Azure,VMs,global,3768.28,on-demand,90
2023-02-07,SaaS,Snowflake,global,691.74,on-demand,63
2023-02-08,GCP,Compute Engine,global,4746.41,on-demand,71
2023-02-08,Azure,AKS,global,1326.95,on-demand,76
2023-02-08,AWS,RDS,global,3540.55,on-demand,40
2023-02-08,SaaS,Databricks,global,3081.83,on-demand,77
2023-02-08,SaaS,Databricks,global,1425.28,reserved,72
2023-02-08,SaaS,Snowflake,global,3785.99,reserved,73
2023-02-09,SaaS,Snowflake,global,3168.66,on-demand,60
2023-02-09,GCP,Compute Engine,global,3389.21,on-demand,34
2023-02-09,Azure,Fabric,global,3593.55,reserved,72
2023-02-09,AWS,Kubernetes,global,3699.77,reserved,37
2023-02-10,AWS,Kubernetes,global,4867.6,on-demand,53
2023-02-10,GCP,Compute Engine,global,2972.66,reserved,59
2023-02-10,AWS,Databricks,global,922.99,on-demand,79
2023-02-10,GCP,BigQuery,global,1615.07,reserved,80
2023-02-10,SaaS,Databricks,global,3046.56,on-demand,78
2023-02-10,GCP,BigQuery,global,2744.78,reserved,61
2023-02-11,GCP,Compute Engine,global,2128.75,reserved,57
2023-02-11,AWS,EC2,global,4617.77,on-demand,61
2023-02-11,Azure,SQL Database,global,3225.32,on-demand,77
2023-02-11,AWS,Kubernetes,global,3955.61,reserved,75
2023-02-12,AWS,RDS,global,4205.55,reserved,37
2023-02-12,GCP,BigQuery,global,797.84,reserved,83
2023-02-12,SaaS,Databricks,global,3877.69,on-demand,76
2023-02-12,AWS,RDS,global,1949.72,reserved,73
2023-02-12,Azure,VMs,global,2634.99,on-demand,94
2023-02-12,AWS,Kubernetes,global,4669.56,reserved,40
2023-02-13,GCP,Compute Engine,global,2062.35,reserved,64
2023-02-13,AWS,Kubernetes,global,2101.25,on-demand,65
2023-02-13,GCP,Compute Engine,global,3417.26,on-demand,53
2023-02-14,GCP,BigQuery,global,2927.3,reserved,44
2023-02-14,AWS,Kubernetes,global,4472.5,reserved,68
2023-02-14,GCP,Compute Engine,global,2869.72,on-demand,47
2023-02-14,GCP,BigQuery,global,2662.43,reserved,68
2023-02-14,AWS,Databricks,global,2433.05,on-demand,52
2023-02-14,GCP,BigQuery,global,613.76,on-demand,49
2023-02-15,GCP,BigQuery,global,641.19,reserved,35
2023-02-15,GCP,Compute Engine,global,1391.57,reserved,78
2023-02-15,Azure,VMs,global,3758.38,reserved,89
2023-02-15,GCP,BigQuery,global,1072.81,reserved,52
2023-02-15,Azure,VMs,global,1138.63,on-demand,32
2023-02-16,AWS,Snowflake,global,3224.02,on-demand,46
2023-02-16,Azure,SQL Database,global,524.06,on-demand,60
2023-02-16,Azure,SQL Database,global,1887.85,on-demand,76
2023-02-16,AWS,EC2,global,1625.61,reserved,84
2023-02-17,Azure,SQL Database,global,3944.84,on-demand,89
2023-02-17,GCP,Compute Engine,global,4518.16,on-demand,63
2023-02-17,GCP,Compute Engine,global,4109.6,on-demand,78
2023-02-17,GCP,Compute Engine,global,2929.94,on-demand,43
2023-02-17,GCP,Compute Engine,global,2629.14,on-demand,57
2023-02-17,Azure,AKS,global,2601.6,on-demand,45
2023-02-18,SaaS,Databricks,global,2436.19,reserved,81
2023-02-18,GCP,BigQuery,global,4831.25,on-demand,72
2023-02-18,GCP,BigQuery,global,1445.24,on-demand,46
2023-02-19,GCP,Compute Engine,global,1177.99,on-demand,49
2023-02-19,SaaS,Databricks,global,867.35,on-demand,54
2023-02-19,Azure,VMs,global,1490.79,reserved,53
2023-02-19,Azure,AKS,global,3412.2,reserved,71
2023-02-19,Azure,AKS,global,3402.45,reserved,59
2023-02-20,AWS,Snowflake,global,4033.56,reserved,80
2023-02-20,AWS,Kubernetes,global,1154.69,reserved,59
2023-02-20,GCP,Compute Engine,global,4423.29,on-demand,92
2023-02-20,SaaS,Databricks,global,2762.45,reserved,94
2023-02-21,SaaS,Databricks,global,2153.98,reserved,58
2023-02-21,SaaS,Databricks,global,4636.01,reserved,93
2023-02-21,SaaS,Databricks,global,518.71,reserved,33
2023-02-21,Azure,SQL Database,global,3450.43,reserved,53
2023-02-21,GCP,Compute Engine,global,4445.97,on-demand,30
2023-02-21,AWS,EC2,global,1075.65,reserved,33
2023-02-22,Azure,SQL Database,global,2867.96,reserved,61
2023-02-22,Azure,AKS,global,3932.84,reserved,34
2023-02-22,AWS,EC2,global,4361.93,reserved,38
2023-02-23,Azure,VMs,global,3105.86,reserved,79
2023-02-23,Azure,VMs,global,2506.59,on-demand,47
2023-02-23,SaaS,Snowflake,global,2608.67,on-demand,82
2023-02-23,Azure,SQL Database,global,2901.92,reserved,44
2023-02-23,SaaS,Databricks,global,1850.8,reserved,48
2023-02-23,AWS,Kubernetes,global,3315.25,reserved,81
2023-02-24,SaaS,Databricks,global,876.52,on-demand,59
2023-02-24,GCP,BigQuery,global,2643.57,reserved,31
2023-02-24,GCP,BigQuery,global,1490.75,reserved,44
2023-02-24,SaaS,Snowflake,global,976.8,on-demand,64
2023-02-25,Azure,AKS,global,4029.88,on-demand,63
2023-02-25,Azure,VMs,global,2632.66,reserved,58
2023-02-25,GCP,BigQuery,global,4006.18,reserved,72
2023-02-25,AWS,Snowflake,global,2000.83,on-demand,88
2023-02-25,SaaS,Databricks,global,1540.4,reserved,40
2023-02-26,AWS,EC2,global,3267.07,reserved,69
2023-02-26,SaaS,Snowflake,global,3605.9,on-demand,65
2023-02-26,Azure,AKS,global,1328.36,on-demand,39
2023-02-27,AWS,Databricks,global,4143.68,on-demand,86
2023-02-27,GCP,BigQuery,global,3154.19,on-demand,31
2023-02-27,Azure,VMs,global,4811.46,on-demand,31
2023-02-27,AWS,RDS,global,634.51,on-demand,64
2023-02-28,SaaS,Databricks,global,3079.23,reserved,38
2023-02-28,AWS,Snowflake,global,2616.28,reserved,44
2023-02-28,SaaS,Databricks,global,2200.84,on-demand,79
2023-02-28,GCP,Compute Engine,global,1079.8,reserved,41
2023-02-28,AWS,Kubernetes,global,2424.2,reserved,34
2023-02-28,AWS,EC2,global,2232.22,on-demand,87
2023-03-01,Azure,Fabric,global,1408.82,reserved,79
2023-03-01,AWS,EC2,global,4908.68,on-demand,80
2023-03-01,Azure,AKS,global,4845.94,on-demand,77
2023-03-01,Azure,SQL Database,global,4455.67,on-demand,92
2023-03-01,AWS,RDS,global,4998.34,on-demand,81
2023-03-02,SaaS,Databricks,global,4974.17,on-demand,81
2023-03-02,GCP,Compute Engine,global,567.47,reserved,64
2023-03-02,AWS,Snowflake,global,4835.7,on-demand,54
2023-03-02,SaaS,Databricks,global,3370.38,reserved,64
2023-03-02,Azure,AKS,global,1770.13,reserved,71
2023-03-02,Azure,VMs,global,1318.14,reserved,81
2023-03-03,SaaS,Snowflake,global,4527.28,reserved,54
2023-03-03,Azure,SQL Database,global,2316.52,on-demand,94
2023-03-03,GCP,Compute Engine,global,4766.43,on-demand,67
2023-03-03,SaaS,Databricks,global,1609.46,reserved,75
2023-03-03,AWS,Snowflake,global,3441.12,on-demand,79
2023-03-03,Azure,Fabric,global,2617.46,on-demand,54
2023-03-04,AWS,Databricks,global,1963.1,on-demand,65
2023-03-04,GCP,BigQuery,global,2503.59,reserved,58
2023-03-04,SaaS,Databricks,global,2055.12,on-demand,93
2023-03-05,SaaS,Snowflake,global,2307.5,reserved,33
2023-03-05,SaaS,Databricks,global,1730.61,on-demand,51
2023-03-05,GCP,BigQuery,global,2175.61,reserved,70
2023-03-05,GCP,Compute Engine,global,2762.48,reserved,31
2023-03-06,AWS,RDS,global,2973.55,on-demand,30
2023-03-06,AWS,Snowflake,global,3881.99,reserved,85
2023-03-06,AWS,RDS,global,2034.77,reserved,45
2023-03-06,GCP,BigQuery,global,3713.32,reserved,50
2023-03-06,AWS,Kubernetes,global,2783.16,on-demand,77
2023-03-06,SaaS,Snowflake,global,661.38,reserved,52
2023-03-07,AWS,Databricks,global,2215.71,reserved,38
2023-03-07,Azure,SQL Database,global,4693.26,on-demand,88
2023-03-07,GCP,BigQuery,global,2967.69,reserved,93
2023-03-07,SaaS,Databricks,global,3581.75,on-demand,30
2023-03-08,SaaS,Databricks,global,2498.24,on-demand,65
2023-03-08,SaaS,Snowflake,global,2653.14,reserved,33
2023-03-08,GCP,BigQuery,global,4075.36,reserved,86
2023-03-09,SaaS,Databricks,global,4440.24,on-demand,52
2023-03-09,Azure,AKS,global,706.34,reserved,47
2023-03-09,Azure,Fabric,global,3409.68,on-demand,59
2023-03-10,Azure,Fabric,global,2181.48,reserved,49
2023-03-10,Azure,AKS,global,2158.18,on-demand,82
2023-03-10,GCP,BigQuery,global,922.53,on-demand,46
2023-03-10,AWS,RDS,global,2571.34,reserved,78
2023-03-10,Azure,Fabric,global,1303.22,on-demand,44
2023-03-10,AWS,RDS,global,2251.91,on-demand,77
2023-03-11,AWS,RDS,global,3611.14,reserved,89
2023-03-11,GCP,BigQuery,global,524.93,on-demand,58
2023-03-11,SaaS,Snowflake,global,740.87,on-demand,95
2023-03-11,GCP,Compute Engine,global,606.7,reserved,34
2023-03-12,Azure,SQL Database,global,882.34,on-demand,94
2023-03-12,GCP,BigQuery,global,2353.54,on-demand,85
2023-03-12,Azure,AKS,global,4832.03,on-demand,42
2023-03-13,AWS,Databricks,global,2860.67,reserved,71
2023-03-13,Azure,SQL Database,global,2017.15,on-demand,62
2023-03-13,AWS,RDS,global,3010.28,reserved,68
2023-03-13,SaaS,Snowflake,global,1362.28,reserved,80
2023-03-14,AWS,Databricks,global,4499.26,on-demand,58
2023-03-14,AWS,RDS,global,2144.37,reserved,61
2023-03-14,AWS,RDS,global,1355.42,on-demand,71
2023-03-14,Azure,Fabric,global,2961.01,on-demand,77
2023-03-14,Azure,Fabric,global,4121.31,on-demand,30
2023-03-14,AWS,Snowflake,global,3579.63,on-demand,58
2023-03-15,GCP,Compute Engine,global,1726.82,reserved,92
2023-03-15,Azure,Fabric,global,1335.31,reserved,75
2023-03-15,AWS,RDS,global,1431.09,reserved,80
2023-03-15,GCP,Compute Engine,global,4439.61,on-demand,85
2023-03-15,AWS,RDS,global,3059.35,on-demand,32
2023-03-16,GCP,BigQuery,global,1557.36,reserved,89
2023-03-16,SaaS,Snowflake,global,3218.32,on-demand,88
2023-03-16,Azure,VMs,global,2176.66,on-demand,74
2023-03-16,GCP,Compute Engine,global,4832.0,on-demand,63
2023-03-16,AWS,Kubernetes,global,2632.18,on-demand,38
2023-03-16,SaaS,Snowflake,global,1390.65,reserved,56
2023-03-17,GCP,Compute Engine,global,2270.78,on-demand,58
2023-03-17,AWS,Databricks,global,1924.67,reserved,85
2023-03-17,SaaS,Databricks,global,3096.61,on-demand,89
2023-03-17,SaaS,Snowflake,global,3582.05,on-demand,60
2023-03-17,Azure,VMs,global,4175.55,reserved,66
2023-03-17,GCP,BigQuery,global,1056.18,reserved,75
2023-03-18,Azure,SQL Database,global,1826.31,reserved,57
2023-03-18,GCP,Compute Engine,global,2863.99,on-demand,85
2023-03-18,SaaS,Databricks,global,2930.92,reserved,39
2023-03-18,AWS,RDS,global,1750.84,reserved,71
2023-03-18,Azure,SQL Database,global,4588.38,on-demand,95
2023-03-19,Azure,VMs,global,3501.79,reserved,82
2023-03-19,AWS,Snowflake,global,1203.3,on-demand,92
2023-03-19,GCP,BigQuery,global,3989.54,reserved,74
2023-03-19,AWS,Kubernetes,global,2819.21,reserved,65
2023-03-19,Azure,SQL Database,global,1881.34,on-demand,47
2023-03-20,SaaS,Snowflake,global,3023.9,reserved,81
2023-03-20,AWS,Kubernetes,global,1123.6,reserved,93
2023-03-20,AWS,RDS,global,4280.82,reserved,82
2023-03-20,Azure,SQL Database,global,3100.88,on-demand,64
2023-03-20,Azure,Fabric,global,2636.62,on-demand,78
2023-03-21,SaaS,Databricks,global,3489.6,reserved,56
2023-03-21,Azure,Fabric,global,4519.49,reserved,58
2023-03-21,Azure,VMs,global,566.72,on-demand,79
2023-03-21,Azure,SQL Database,global,2307.99,reserved,55
2023-03-22,AWS,Snowflake,global,1333.34,on-demand,45
2023-03-22,GCP,BigQuery,global,2078.59,reserved,82
2023-03-22,Azure,Fabric,global,4393.51,reserved,39
2023-03-22,AWS,Kubernetes,global,4604.31,on-demand,62
2023-03-22,GCP,Compute Engine,global,4785.54,on-demand,86
2023-03-23,SaaS,Databricks,global,2300.84,on-demand,63
2023-03-23,SaaS,Databricks,global,2452.12,reserved,71
2023-03-23,GCP,Compute Engine,global,4231.31,reserved,73
2023-03-24,AWS,Snowflake,global,2601.91,on-demand,47
2023-03-24,Azure,Fabric,global,2574.5,on-demand,38
2023-03-24,SaaS,Snowflake,global,2109.71,on-demand,75
2023-03-24,Azure,AKS,global,3366.3,reserved,76
2023-03-24,Azure,VMs,global,3282.42,on-demand,80
2023-03-24,GCP,Compute Engine,global,1056.28,on-demand,36
2023-03-25,GCP,Compute Engine,global,4602.76,reserved,38
2023-03-25,GCP,Compute Engine,global,4600.58,reserved,42
2023-03-25,AWS,RDS,global,1277.71,on-demand,72
2023-03-25,GCP,Compute Engine,global,4941.59,on-demand,89
2023-03-25,AWS,Databricks,global,1005.09,reserved,67
2023-03-25,Azure,VMs,global,1690.73,reserved,70
2023-03-26,Azure,Fabric,global,2641.26,reserved,40
2023-03-26,AWS,Snowflake,global,1426.96,on-demand,49
2023-03-26,GCP,Compute Engine,global,2445.6,reserved,35
2023-03-27,GCP,Compute Engine,global,4902.56,on-demand,64
2023-03-27,Azure,Fabric,global,4515.03,on-demand,65
2023-03-27,Azure,AKS,global,4127.72,on-demand,88
2023-03-28,SaaS,Databricks,global,4374.26,on-demand,53
2023-03-28,GCP,BigQuery,global,1627.34,reserved,81
2023-03-28,GCP,BigQuery,global,4455.0,on-demand,95
2023-03-28,SaaS,Databricks,global,4934.99,reserved,53
2023-03-29,Azure,Fabric,global,2453.81,reserved,73
2023-03-29,Azure,Fabric,global,4566.68,on-demand,63
2023-03-29,GCP,BigQuery,global,3106.77,on-demand,32
2023-03-29,Azure,SQL Database,global,4616.62,on-demand,52
2023-03-29,SaaS,Snowflake,global,2442.01,on-demand,69
2023-03-29,GCP,BigQuery,global,4039.67,reserved,89
2023-03-30,Azure,AKS,global,2954.58,on-demand,53
2023-03-30,SaaS,Databricks,global,4472.98,reserved,73
2023-03-30,SaaS,Databricks,global,3504.13,reserved,92
2023-03-30,AWS,Kubernetes,global,1519.97,reserved,60
2023-03-30,SaaS,Snowflake,global,1377.74,reserved,46
2023-03-30,GCP,BigQuery,global,4225.13,reserved,79
2023-03-31,SaaS,Databricks,global,3993.62,on-demand,49
2023-03-31,SaaS,Snowflake,global,3366.22,on-demand,62
2023-03-31,GCP,BigQuery,global,3490.5,reserved,44
2023-03-31,GCP,Compute Engine,global,1303.66,reserved,85
2023-03-31,GCP,BigQuery,global,2898.39,reserved,50
2023-04-01,Azure,SQL Database,global,1512.18,on-demand,92
2023-04-01,AWS,EC2,global,1951.63,on-demand,80
2023-04-01,SaaS,Databricks,global,1092.9,reserved,86
2023-04-01,AWS,EC2,global,3549.09,on-demand,92
2023-04-02,GCP,BigQuery,global,1538.33,on-demand,59
2023-04-02,SaaS,Snowflake,global,4610.16,on-demand,86
2023-04-02,AWS,Kubernetes,global,3930.7,reserved,77
2023-04-02,AWS,RDS,global,2819.51,on-demand,55
2023-04-02,Azure,SQL Database,global,1947.23,on-demand,81
2023-04-02,GCP,Compute Engine,global,1252.8,on-demand,83
2023-04-03,GCP,BigQuery,global,4846.77,reserved,73
2023-04-03,SaaS,Snowflake,global,4295.89,reserved,82
2023-04-03,AWS,EC2,global,2398.53,reserved,32
2023-04-04,GCP,BigQuery,global,2414.81,on-demand,66
2023-04-04,AWS,Databricks,global,4847.14,on-demand,52
2023-04-04,SaaS,Snowflake,global,4787.68,reserved,35
2023-04-05,AWS,Kubernetes,global,3480.23,reserved,43
2023-04-05,SaaS,Snowflake,global,2915.59,reserved,91
2023-04-05,AWS,Snowflake,global,4558.57,reserved,35
2023-04-06,Azure,VMs,global,4532.81,reserved,82
2023-04-06,SaaS,Snowflake,global,3685.61,reserved,36
2023-04-06,Azure,SQL Database,global,4550.42,on-demand,42
2023-04-06,Azure,VMs,global,3566.63,reserved,71
2023-04-07,GCP,BigQuery,global,541.2,reserved,90
2023-04-07,Azure,AKS,global,2569.3,reserved,59
2023-04-07,SaaS,Snowflake,global,780.53,on-demand,49
2023-04-07,AWS,Kubernetes,global,3444.18,reserved,30
2023-04-08,SaaS,Databricks,global,4913.8,on-demand,65
2023-04-08,GCP,Compute Engine,global,2006.56,on-demand,33
2023-04-08,SaaS,Databricks,global,858.39,on-demand,56
2023-04-08,SaaS,Databricks,global,4481.48,on-demand,53
2023-04-09,AWS,EC2,global,3457.37,on-demand,92
2023-04-09,Azure,AKS,global,582.59,on-demand,61
2023-04-09,GCP,BigQuery,global,542.14,on-demand,58
2023-04-09,SaaS,Snowflake,global,2324.02,reserved,60
2023-04-09,GCP,BigQuery,global,4796.23,reserved,52
2023-04-10,Azure,Fabric,global,3063.86,reserved,59
2023-04-10,Azure,Fabric,global,4664.83,on-demand,75
2023-04-10,SaaS,Databricks,global,1250.64,reserved,83
2023-04-10,AWS,Databricks,global,2920.19,on-demand,91
2023-04-11,AWS,EC2,global,4021.75,on-demand,53
2023-04-11,Azure,Fabric,global,2550.11,on-demand,59
2023-04-11,SaaS,Databricks,global,4776.26,reserved,70
2023-04-11,SaaS,Databricks,global,3616.24,reserved,93
2023-04-12,SaaS,Databricks,global,2018.8,reserved,36
2023-04-12,AWS,Kubernetes,global,998.5,on-demand,36
2023-04-12,Azure,SQL Database,global,2677.08,on-demand,92
2023-04-12,SaaS,Databricks,global,1310.46,on-demand,95
2023-04-12,GCP,Compute Engine,global,4718.72,reserved,69
